image_id,discard_reason,technical_warning_name
883.png,demasiados componentes/células segmentadas,warning_too_many_components
884.png,demasiados componentes/células segmentadas,warning_too_many_components
885.png,demasiados componentes/células segmentadas,warning_too_many_components
886.png,demasiados componentes/células segmentadas,warning_too_many_components
887.png,demasiados componentes/células segmentadas,warning_too_many_components
889.png,demasiados componentes/células segmentadas,warning_too_many_components
893.png,demasiados componentes/células segmentadas,warning_too_many_components
896.png,demasiados componentes/células segmentadas,warning_too_many_components
897.png,demasiados componentes/células segmentadas,warning_too_many_components
898.png,demasiados componentes/células segmentadas,warning_too_many_components
899.png,demasiados componentes/células segmentadas,warning_too_many_components
900.png,demasiados componentes/células segmentadas,warning_too_many_components
902.png,demasiados componentes/células segmentadas,warning_too_many_components
903.png,demasiados componentes/células segmentadas,warning_too_many_components
905.png,demasiados componentes/células segmentadas,warning_too_many_components
906.png,demasiados componentes/células segmentadas,warning_too_many_components
907.png,demasiados componentes/células segmentadas,warning_too_many_components
908.png,demasiados componentes/células segmentadas,warning_too_many_components
911.png,demasiados componentes/células segmentadas,warning_too_many_components
916.png,demasiados componentes/células segmentadas,warning_too_many_components
917.png,demasiados componentes/células segmentadas,warning_too_many_components
921.png,demasiados componentes/células segmentadas,warning_too_many_components
922.png,demasiados componentes/células segmentadas,warning_too_many_components
923.png,demasiados componentes/células segmentadas,warning_too_many_components
933.png,demasiados componentes/células segmentadas,warning_too_many_components
935.png,demasiados componentes/células segmentadas,warning_too_many_components
936.png,demasiados componentes/células segmentadas,warning_too_many_components
938.png,demasiados componentes/células segmentadas,warning_too_many_components
940.png,demasiados componentes/células segmentadas,warning_too_many_components
942.png,demasiados componentes/células segmentadas,warning_too_many_components
943.png,demasiados componentes/células segmentadas,warning_too_many_components
946.png,demasiados componentes/células segmentadas,warning_too_many_components
948.png,demasiados componentes/células segmentadas,warning_too_many_components
949.png,demasiados componentes/células segmentadas,warning_too_many_components
953.png,demasiados componentes/células segmentadas,warning_too_many_components
